rating_alternateName,claimReview_url,creativeWork_author_name	,claimReview_claim,claimReview_Title,claimReview_datePublished,claimReview_Verdict,claimReview_source	
False,https://fullfact.org/online/storm-eunice-video-portsmouth/?utm_source=content_page&utm_medium=related_content,Grace Rahman,A video shows Storm Eunice had arrived early in Portsmouth.,"Storm Eunice video' supposedly showing crane fall in Portsmouth is actually from Poland
",2/18/2022,The video was taken in Poland during a different storm.,Fullfact
False,https://fullfact.org/health/february-2022-expose-vaccinated-covid/,Abbas Panjwani,People vaccinated against Covid-19 may be experiencing a form of vaccine-induced acquired immunodeficiency syndrome.,Covid-19 vaccines don’t cause immunodeficiency syndrome,2/16/2022,False. This is based on incorrectly using Covid-19 case rates to claim being vaccinated increases a person’s risk of being infected with Covid-19.,Fullfact
False,https://fullfact.org/health/conservative-woman-cancer-covid-vaccine/,Sarah Turnnidge,"US military data shows a huge increase in rates of cancer, as well as other medical conditions, following the Covid-19 vaccine rollout.",US data doesn’t prove increase in cancer following vaccine rollout,2/14/2022,"The data supporting this claim is flawed, and has been withdrawn by officials.",Fullfact
False,https://fullfact.org/health/health-spending-40-percent/,Abbas Panjwani ,"40% of all day-to-day spending by the State now goes to the health sector

",Health doesn’t account for 40% of day-to-day public spending,11/18/2021,"No it doesn’t. This year, day-to-day spending on health is forecast to account for about 23% of all day-to-day public spending by the UK government.",Fullfact
True,https://fullfact.org/europe/false-claims-forecasts-eu-referendum/,Richard Braham,Campaigners on both sides of the EU referendum made false claims.,"False claims, forecasts, and the EU Referendum",12/2/2016,That’s correct. Sometimes they even made false claims about the false claims made by each other.,Fullfact
True,https://fullfact.org/online/covid-19-vaccine-mandate-japan/,Tom Norton,Myocarditis has been listed on Covid-19 vaccine labels in Japan as a potential side effect.,Japan has never enforced a Covid-19 vaccine mandate,1/19/2022,"This is true. However, the Japanese Ministry of Health, Labour and Welfare says the chances of contracting it are “extremely rare”.",Fullfact
Mixture,https://fullfact.org/health/suicide-rates-lockdown/,Abbas Panjwani,Suicides have virtually doubled since lockdown.,Sun wrong to claim lockdown doubled suicide rates,5/10/2021,There is very little evidence for this. What evidence we have shows no increase in suicides after the first lockdown.,Fullfact
True,https://fullfact.org/health/how-much-does-uk-recover-health-costs-eu/,Robin Wilkinson,"The UK paid out £674 million in health costs to European countries, but received only £49 million in return. Addressing this could “transform the financial situation of the NHS”.",How much does the UK recover in health costs from the EU?,9/6/2018,"The figures are broadly correct for 2015, although addressing this situation would in itself only have a marginal impact on the financial situation of the NHS.",Fullfact
Mixture,https://fullfact.org/health/sex-cancer-risk/,Pippa Allen-Kinross,Having 10 or more sexual partners increases cancer risk by 90% for women and 69% for men.,"Women who have had 10 or more sexual partners do not double their risk of getting cancer
",2/20/2020,There is no evidence that having 10 or more sexual partners causes cancer in men or women.,Fullfact
Mixture,https://fullfact.org/health/viral-facebook-post-incorrectly-claims-list-ppe-contracts-are-all-unfulfilled/,Abbas Panjwani,£1 billion was given to 13 companies for PPE but no PPE has been supplied.,Viral Facebook post incorrectly claims that a list of PPE contracts are all unfulfilled,7/30/2020,"These contracts appear to be real contracts for PPE, but there is no evidence that the contracts were all unfulfilled.",Fullfact
True,https://fullfact.org/health/coronavirus-hcid/,Leo Benedictus,The UK government no longer considers Covid-19 to be a “high consequence infectious disease”.,"Covid-19 may not be a “high consequence infectious disease”, but it is a real emergency

",5/29/2020,"This is true, because it no longer meets the criteria for an HCID. This doesn’t mean that it is no longer considered dangerous.",Fullfact
Mixture,https://fullfact.org/health/care-homes-starmer-johnson/,Leo Benedictus,Covid-19 deaths in care homes are rising.,Covid-19 deaths in care homes have started to fall,5/14/2020,"This was true at the time, by one measure. By another measure it was probably not true. Now it seems clearer that deaths in care homes from suspected Covid-19 are falling.",Fullfact
Mixture,https://fullfact.org/health/number-nhs-hospital-beds-has-fallen/,Joseph O'Leary,The number of NHS overnight beds has fallen by a fifth over the last decade.,"The number of NHS hospital beds has fallen
",2/23/2017,"The number has fallen, but we don’t know by how far. The bed count included more things a decade ago, so this claim isn’t based on a fair comparison.",Fullfact
True,https://fullfact.org/health/total-spending-mental-health/?utm_source=content_page&utm_medium=related_content,Richard Braham,Government spending on mental health services is now £11.7 billion.,"Total spending on mental health
",10/19/2016,"This is the right figure, but it’s only an estimate.",Fullfact
True,https://fullfact.org/health/how-many-children-mental-health-disorders/?utm_source=content_page&utm_medium=related_content,Claire Milne,One in 10 children aged between five and 16 have a mental health problem.,How many children have mental health disorders?,12/21/2016,This is correct according to a survey conducted in 2004. More up-to-date research is due to be published in 2018.,Fullfact
False,https://fullfact.org/health/nhs-data-covid-vaccine-side-effects/,Sarah Turnnidge,"Incidences of heart attacks, bell’s palsy, congenital malformations, female infertility, pulmonary embolisms, neurological abnormalities and cancers have increased dramatically, according to nhs data.",False US military health data misrepresented as NHS figures,2/18/2022,"The figures published in the social media post are based on false US military data, not NHS data.",Fullfact
False,https://fullfact.org/crime/rachel-maclean-men-domestic-abuse/,Leo Benedictus,Approximately 7% of men experienced domestic abuse in the year ending March 2020.,About 3.6% of men have recently experienced domestic abuse,10/20/2021,This is not correct. The true figure was 3.6%.,Fullfact
Mixture,https://fullfact.org/crime/sexual-harassment-workplace/,Abbas Panjwani,One third of women in the UK report having been harassed in the workplace and 70% said they didn’t feel able to report it.,Sexual harassment in the workplace,6/26/2018,"It’s difficult to put a figure on this because of differing definitions of harassment. The one third figure comes from a survey that isn’t necessarily representative of adults across the UK, and is about in the middle compared to other survey estimates we’ve seen.",Fullfact
Mixture,https://fullfact.org/crime/how-many-reported-rapes-go-to-trial/,Claire Milne,Only a tiny proportion of rapes ever reach trial.,Reported rapes that reach trial,2/2/2018,Around one in ten rapes or attempted rapes reported to police in England and Wales are brought to trial. Research from 2013 estimated that between one in twenty and one in thirty rape cases end up at trial.,Fullfact
True,https://fullfact.org/crime/women-killed-by-men/,Hannah Phaup and Joël Reland,"Currently, there are at least two or three women per week who are killed by their ex-partners or current partners.",Women killed by men,2/2/2018,"Official statistics, and separate figures from Women’s Aid, show around 80 women were killed by their partner or ex-partner in the latest year they cover.",Fullfact
Mixture,https://fullfact.org/law/justice-spending-rachel-shabi/,Leo Benedictus,The justice budget has fallen by 40% since 2010.,"Justice spending is down 25% since 2010, not 40%",2/18/2020,"This was a proposal, but is now out of date. The government announced a 40% real terms reduction in the Ministry of Justice budget between 2010/11 and 2019/20, but in the end the reduction was 25%.",Fullfact
Mixture,https://fullfact.org/crime/extended-sentences/,Abbas Panjwani,The most serious violent and sexual offenders receive automatic early release from prison halfway through their sentence.,More prisoners to be released two thirds of the way through sentence than halfway,10/9/2019,This is the default sentence (excluding those given life) though judges in England and Wales are already allowed to keep offenders in prison for two thirds of their sentence if they are considered dangerous.,Fullfact
True,https://fullfact.org/health/cyclist-deaths/,Joël Reland,"In 2016, 18,477 cyclists were injured in road accidents, including 3,499 who were killed or seriously injured.",How many cyclists are killed each year?,8/17/2018,"Correct for Britain. The 18,477 figure includes deaths, of which there were 102.",Fullfact
False,https://fullfact.org/online/google-domestic-abuse/,Sarah Turnnidge,‘How to hit a woman so no one knows’ was Googled 163 million times during 2020.,Claims 163 million people searched ‘how to hit a woman so no one knows’ are untrue,5/5/2021,"This is false. This is the number of search results, rather than the number of times that the term was searched for—a methodological error acknowledged by the researcher behind the claim.",Fullfact
Mixture,https://fullfact.org/crime/girls-school-uniform-sexually-harassed/,Claire Milne,One in three girls in school uniform has been sexually harassed in public.,35% of girls wearing school uniform have been sexually harassed in public,10/16/2018,"35% of 14-21 year-olds in the UK said they had experienced unwanted sexual attention or unwanted sexual or physical contact while wearing school uniform in public, according to a survey for Plan International.",Fullfact
Mixture,https://fullfact.org/law/upskirting-whats-legal-situation/,Abbas Panjwani,Upskirting is not illegal because there is no specific crime covering the act.,Upskirting: what’s the legal situation?,6/27/2018,Upskirting offenders have been prosecuted under existing laws but there is criticism these don’t go far enough. A new bill would specify upskirting as a criminal act if passed.,Fullfact
Mixture,https://fullfact.org/crime/allegations-rape/,Joseph O'Leary,About 3-4% of reported rapes are based on false allegations.,Allegations of rape,2/2/2018,"There’s no way to know the true figure, and it depends which types of case you include in your definition. Evidence from England and Wales suggests that 3-4% is a reasonable estimate for the number based on malicious complaints.",Fullfact
Mixture,https://fullfact.org/crime/what-do-we-know-about-ethnicity-people-involved-sexual-offences-against-children/,Full Fact Team,Nearly 90% of those convicted of wider child abuse offences and on the sex offenders register are white men.,What do we know about the ethnicity of people involved in sexual offences against children?,9/6/2017,There isn’t much publicly available information on this. The data we do have shows a large majority of those convicted of sexual offences (no matter the age of the victim) are white.,Fullfact
Mixture,https://fullfact.org/online/facebook-post-about-poppy-graffiti-mosque-misleading/,Tom Norton,"Two men were sent to prison for defacing a mosque with a poppy, while two others only received fines for burning poppies and defacing a memorial.",Facebook post about poppy graffiti on mosque is misleading,6/24/2021,The two men sent to prison also admitted to a number of other racially motivated offences.,Fullfact
Mixture,https://fullfact.org/online/police-car-MOT/, Sarah Turnnidge,A police car pictured has an expired MOT.,Police cars don’t need MOT registration,4/29/2021,"The vehicle in question did, but it doesn’t matter, as police vehicles are exempt.",Fullfact
False,https://fullfact.org/online/burnt-out-police-car-bristol-protests-was-not-fake,Tom Norton,A police car destroyed during protests in Bristol is a prop vehicle as the MOT has expired.,Burnt-out police car in Bristol protests was not fake,3/24/2021,This is not the case. Police vehicles don’t need MOT registration.,Fullfact
Mixture,https://fullfact.org/crime/assaults-on-police-officers/,Eugene Smith,Violent assaults on police officers have risen by a third in just four years.,Are assaults on police officers rising?,8/16/2019,"The way data is collected was changed in 2017, so it isn’t possible to compare current rates with what they were four years ago. But assaults on officers that resulted in injuries rose by 27% in 2018/19 compared to 2017/18.",Fullfact
False,https://fullfact.org/crime/no-water-cannon-brexit-march/, Joël Reland,Water cannon may be deployed today in London for a pro-Brexit march.,"No, water cannon will not be deployed at the pro-Brexit march",3/19/2019,This is untrue. The Met Police do not own any water cannon and they are not currently authorised for use in England and Wales. Both the Met Police and the Mayor of London’s office confirmed they will not be using water cannon.,Fullfact
False,https://fullfact.org/economy/pay-rises-how-much-do-nurses-police-teachers-and-mps-get-paid/,Grace Rahman,"MPs’ salaries have increased from £66,000 in 2010 to £77,000 in 2018.","Pay rises: how much do nurses, the police, teachers and MPs get paid?",9/7/2018,"These figures don’t take account of inflation since 2010. In 2018 prices MPs’ pay has remained stable compared with 2010 at around £77,400.",Fullfact
Mixture,https://fullfact.org/crime/police-budgets-numbers-and-community-policing/,Abbas Panjwani,Police engagement with communities isn’t happening.,"Police budgets, numbers and community policing",5/18/2018,There’s evidence from the police watchdog that the capacity for crime prevention work has been declining but also evidence that it improved last year. The number of PCSOs decreased by 40% between March 2010 and March 2017.,Fullfact
True,https://fullfact.org/crime/hollie-guard-app/,Daniella de Block Golding,A flyer recommending the Hollie Guard app is genuine.,Police have recommended the Hollie Guard app,3/25/2021,The Hollie Guard app is a genuine personal security app and has been recommended by police forces.,Fullfact
False,https://fullfact.org/crime/one-million-grooming/,Leo Benedictus,A million children have been gang raped and groomed in the UK.,"Many children have been the victims of grooming gangs, but there’s no evidence for a figure of one million",7/14/2020,This figure is not reliable. It appears to come from assuming that the number of suspected cases of child sexual exploitation in 2018/19 can be multiplied by 30 years—which still does not reach one million. We don’t know what the true number is.,Fullfact
True,https://fullfact.org/crime/elderly-domestic-abuse/,Leo Benedictus,"200,000 elderly are abused by partners.","Over 200,000 elderly people experienced domestic abuse in 2017/18",10/4/2019,"Around 210,000 people aged 60 to 74 in England and Wales are estimated to have been victims of domestic abuse in 2017/18. Of those people, 152,000 were victims of domestic abuse by a partner. However, the data is likely to underestimate the true extent of domestic abuse.",Fullfact
True,https://fullfact.org/crime/are-third-domestic-abuse-victims-men/,Leo Benedictus,"For every three victims of domestic abuse, two will be female, one will be male.",Are a third of domestic abuse victims men?,10/6/2018,"Of those aged 16-74 who told the Crime Survey for England and Wales that they had experienced some form of domestic abuse since they were 16, a third were male and two thirds were female.",Fullfact
True,https://fullfact.org/education/social-mobility-and-universities/,Leo Benedictus,More people from deprived backgrounds are going to university than ever before.,Social mobility and universities,12/8/2017,"Correct. In 2016 the proportion of 18 year-olds living in the most disadvantaged areas going to university was the highest on record for England, Scotland and Wales. It’s the second highest level it has ever been in Northern Ireland.",Fullfact
False,https://fullfact.org/online/european-community-supported-britain-during-falklands-war/,Leo Benedictus,"The EU did not help Britain during the Falklands War, and instead sent weapons to Argentina.",The European Community supported Britain during the Falklands War,2/27/2020,This is not true. The EC (the predecessor of the EU) applied an arms embargo and an import ban on Argentina.,Fullfact
True,https://fullfact.org/economy/uk-eu-workers-rights-maternity/,Leo Benedictus,UK sick pay is 28 weeks. The EU does not set a minimum sick pay.,"UK workers’ rights: what are the rules on sick pay, maternity and annual leave?",11/1/2019,Correct.,Fullfact
Mixture,https://fullfact.org/europe/Holloway-handball-var-eu/,Leo Benedictus,“Our boys” didn’t change the handball and VAR rules in association football.,Did “our boys” change the handball rule?,9/21/2019,"Changes to the VAR rules were made unanimously by IFAB. British football associations had the ability to veto this change, but all four voted in favour. Details of the vote to change the handball rule have not yet been released, but at least two of the four British FAs would have had to vote in favour of it.",Fullfact
True,https://fullfact.org/online/france-germany-working-week/,Leo Benedictus,People in Poland retire at 60.,UK taxpayers aren’t subsidising France’s 35-hour working week,2/28/2019,The retirement age for women in Poland is 60—the lowest level in the EU. For men it’s 65 (which is the most common retirement age for men and women in EU countries).,Fullfact
Mixture,https://fullfact.org/environment/does-government-subsidise-grouse-shooting/,Leo Benedictus,Theresa May has increased subsidies for grouse shooting from £45 million to £84 million a year.,Does the government subsidise grouse shooting?,2/27/2019,"Moorland in England used for grouse shooting is eligible for agricultural subsidy, though the act of shooting itself isn’t subsidised. Data on the total subsidy paid to grouse moors isn’t published, though the £45 and £84 million figures are likely to be overestimates.",Fullfact
True,https://fullfact.org/europe/uk-one-biggest-contributors-eu-budget/,Leo Benedictus,The UK is one of the three countries that puts the most money into the EU budget.,The UK is one of the biggest contributors to the EU budget,7/13/2018,Correct,Fullfact
Mixture,https://fullfact.org/europe/kay-burley-diane-abbott-free-movement-EU/,Leo Benedictus,"Norway has free movement with the EU, despite not being in the single market.",You can have freedom of movement outside the EU if you’re in the single market,2/21/2020,"Norway does have free movement, but it is in the single market.",Fullfact
Mixture,https://fullfact.org/europe/farage-ecj-disputes-trade-deal/,Leo Benedictus,The withdrawal agreement means any future free trade agreement between the UK and EU would make the European Court of Justice the ultimate arbiter of disputes.,No indication that the European Court of Justice would be the arbiter of all disputes in a future UK-EU trade agreement,11/8/2019,The UK and EU haven’t started negotiating the free trade agreement yet so we can’t know for sure. Both sides have stated that under a future trade agreement the court would only arbitrate disputes on EU law that couldn’t be resolved by a joint committee.,Fullfact
True,https://fullfact.org/europe/viral-image-boris-johnsons-brexit-deal/,Full Fact team,"Under the new withdrawal agreement, Northern Ireland is effectively annexed by the EU with border in the Irish sea between NI and the UK.",We fact checked this viral image on Boris Johnson's Brexit deal,10/18/2019,"There will be checks on goods crossing from the rest of the UK into Northern Ireland, but Northern Ireland will remain part of the UK’s customs territory. What you deem to be annexing is really a matter of interpretation.",Fullfact
True,https://fullfact.org/europe/gatt-24-again/,Joël Reland,The UK can sign a three-page trade agreement with the EU and then trade tariff-free under GATT 24.,"GATT 24: new argument, same old problems",9/5/2019,"In theory such an agreement could satisfy GATT 24, allowing tariff-free trade on most goods with the EU. It would lead to significant wider barriers to trade, and the EU is unlikely to sign up to it.",Fullfact
Mixture,https://fullfact.org/online/eu-budget-contributions-misleading/, Joël Reland,"In 2018, the UK contributed £11 billion to the EU and received EU funding of £6 billion.",This post about EU budget contributions is misleading,5/16/2019,"Data is not yet available for 2018. In 2017, the UK paid roughly £12 billion into the EU budget and received around £5.5 billion back in spending from the EU.",Fullfact
False,https://fullfact.org/health/keir-starmer-european-medicines-agency/,Leo Benedictus,Sir Keir Starmer has never said that he wanted the UK to remain in the European Medicines Agency after Brexit.,Keir Starmer did want the UK to remain in the European Medicines Agency,2/3/2021,This is not true. He said at least twice that the UK should seek to remain in the European Medicines Agency.,Fullfact
False,https://fullfact.org/health/maajid-nawaz-joe-rogan-covid/?utm_source=content_page&utm_medium=related_content,Leo Benedictus,Covid-19 vaccines do not protect 5-year-olds or 12-year-olds against serious illness or death with the disease.,Maajid Nawaz got Covid-19 facts wrong on the Joe Rogan podcast,2/25/2022,This is not true. Covid-19 vaccines do substantially protect against the small risk of serious illness and death in children.,Fullfact
Mixture,https://fullfact.org/health/queen-elizabeth-covid-ivermectin/?utm_source=content_page&utm_medium=related_content,Sarah Turnnidge,Queen Elizabeth II is being treated for Covid-19 with ivermectin.,News clip doesn’t prove Queen is being treated with ivermectin,2/22/2022,"There is no evidence to suggest this is true. The news channel, which accidentally broadcast a shot of ivermectin during a segment about the Queen’s treatment, has apologised and said it was the result of “human error”.",Fullfact
False,https://fullfact.org/health/cost-training-doctor/,Claire Milne and Richard,"Putting a doctor through medical school “costs the taxpayer” £230,000.","The cost of training a doctor
",10/21/2016,"That’s wrong. About £64,300 of that comes in student loans, most of which the government gets back. The rest comes in grants for tuition, living costs and clinical placements.",Fullfact
False,https://fullfact.org/health/vaccination-miscarriage-CDC-study-inaccurate/,Tom Norton,"A study on the effects of Covid vaccines during pregnancy shows 82% of respondents miscarried, contrary to what its authors claimed.",Study did not show 82% of pregnancies end in miscarriage after Covid vaccination,8/3/2021,"This claim is misleading and based on an incorrect calculation. The study it is based on found the rates of miscarriage were no different to those before Covid-19, although it concedes that further research is needed.",Fullfact
Mixture,https://fullfact.org/europe/could-leaving-european-nuclear-club-put-cancer-patients-risk/,Joseph O’Leary,Leaving Euratom will not affect the UK’s ability to import medical radioisotopes - which are used to diagnose and treat certain kinds of cancer.,Could leaving the European nuclear club put cancer patients at risk?,7/18/2017,"This isn’t certain, and will depend on what future arrangements are negotiated. The UK may find it harder to guarantee a supply after leaving.",Fullfact
False,https://fullfact.org/economy/george-freeman-africa-eu-tariffs/,Abbas Panjwani,The EU has a 40% tariff on food from Africa.,The EU doesn’t have a 40% tariff on African food imports,7/22/2021,"False. There isn’t just one flat tariff on food. Regardless, the EU doesn’t apply tariffs on the vast majority of African countries, due to trade agreements and efforts to support developing nations.",Fullfact
False,https://fullfact.org/online/ukraine-girl-confronts-soldier-russia/?utm_source=content_page&utm_medium=related_content,Sarah Turnnidge,Images show a young Ukrainian girl telling a Russian soldier to go home.,Images of girl confronting soldier are not from Ukraine,2/28/2022,False. The images come from a video that was published in 2012. It says it shows Palestinian children.,Fullfact
Mixture,https://fullfact.org/online/ukraine-invasion-gaza-photos/?utm_source=content_page&utm_medium=related_content,Pippa Allen-Kinross,Three photographs show explosions in Ukraine.,Photos claiming to show explosions in Ukraine are actually from Gaza,2/24/2022,One of the photographs is of an explosion in Ukraine. The other two show Gaza.,Fullfact
False,https://fullfact.org/europe/bbc-footage-russian-flyover-ukraine/?utm_source=content_page&utm_medium=related_content,Sarah Turnnidge,A video of military planes is recent footage from the Russian invasion of Ukraine.,BBC Breakfast uses old footage of Russian parade rehearsal to show invasion of Ukraine,2/25/2022,"The footage is actually from May 2020, and shows preparations for a military parade near Moscow.",Fullfact
False,https://fullfact.org/online/fake-cnn-death-afghanistan-ukraine/?utm_source=content_page&utm_medium=related_content,Leo Benedictus,"CNN reported the death of the same man twice, in both Afghanistan and Ukraine.",CNN did not claim the same man was killed in both Ukraine and Afghanistan,2/28/2022,"This is not true. It is based on screenshots of fake CNN Twitter accounts. The photo used appears to be of a YouTuber, who is alive.",Fullfact
False,https://fullfact.org/crime/no-water-cannon-brexit-march/,Joël Reland,Water cannon may be deployed today in London for a pro-Brexit march.,"No, water cannon will not be deployed at the pro-Brexit march",3/29/2019,This is untrue. The Met Police do not own any water cannon and they are not currently authorised for use in England and Wales. Both the Met Police and the Mayor of London’s office confirmed they will not be using water cannon.,Fullfact
True,https://fullfact.org/crime/priti-patel-home-office-police-funding-tweet/?utm_source=content_page&utm_medium=related_content,Sarah Turnnidge,Police funding has risen from £12.1bn in 2015/16 to £16.9bn in 2022/23.,"Priti Patel’s tweet on police funding doesn’t account for inflation
",12/23/2021,"This is true in cash terms but fails to take into account inflation, meaning the actual increase in police spending is much lower.

",Fullfact
False,https://fullfact.org/online/emma-tustin-salt-peterborough-arthur-labinjo-hughes-hospital-false/,Tom Norton,"Emma Tustin, convicted of the murder of Arthur Labinjo-Hughes, has been hospitalised after inmates forced her to eat 79 packets of salt.",Reports Emma Tustin was hospitalised after inmates force fed her salt are not true,12/15/2021,"Sodexo, which runs the prison where Tustin is serving her sentence, says there is no truth to the claim.",Fullfact
True,https://fullfact.org/economy/wales-scotland-cost-of-living-council-tax/,Abass Panjwani,There’s no extra money for Wales or Scotland to deliver the same council tax rebate scheme that was announced in England.,Wales and Scotland are getting money to fund a council tax rebate,2/15/2022,"The Welsh and Scottish governments are receiving money from the UK government as a result of the council tax rebate scheme, but other areas of its estimated budget have been revised downwards as a result of England’s provisional budget for those areas being revised downwards too.",Fullfact
Mixture,https://fullfact.org/economy/house-buyers-supply/,Abass Panjwani,In November 2021 there were 29 house buyers for each property in the UK,Data likely overstates the number of house hunters per house,12/23/2021,This analysis likely overstates the ratio of house buyers per property.,Fullfact
Mixture,https://fullfact.org/economy/millionaire-pensioners/,Abass Panjwani,One in five over-65s in the UK is classified as a millionaire,Golden oldies: Are one in five pensioners millionaires?,7/14/2021,"One in five households in Great Britain, headed by an over-65, has a total wealth of over a million pounds.",Fullfact
True,House price growth has outstripped income growth—but not by much - Full Fact,Sarah Turnnidge,Average UK house prices rose roughly fourfold between 1990 and 2020.,House price growth has outstripped income growth—but not by much,3/29/2021,"This is true, in cash terms",Fullfact
False,https://fullfact.org/economy/11-million-cladding-crisis/,leo benedictus,11 million people are financially at risk from the cladding crisis.,Labour’s figures on the cladding crisis are far too high,2/10/2021,"This estimate is much too high. The true number of residents affected is probably more like 760,000. Landlords of another 600,000 properties will also be affected. The total will be much less than 11 million, which seems to be more than all the people living in flats in the UK.",Fullfact
Mixture,https://fullfact.org/economy/coronavirus-evictions/,Abass Panjwani,A survey found 11% of workers who report having taken a financial hit from the coronavirus pandemic have been evicted.,How many people havebeen evicted as a resultof coronavirus?,4/8/2021,"Housing charity Shelter says there has been a spike in evictions, though not nearly as large a spike as this survey found.",Fullfact
Mixture,Quarter of private renters experience sickness over housing worries—but we don’t know if private renting is the cause - Full Fact,Abass Panjwani,Private renting is making millions of people ill.,Quarter of private renters experience sickness over housing worries—but we don’t know if private renting is the cause,1/21/2020,A survey found almost a quarter of private renters agree that housing worries have made them ill in the past year. This doesn’t mean the sickness was specifically caused by renting privately as opposed to any other type of housing situation.,Fullfact
True,There are 11 million people in the private rented sector - Full Fact,Full Fact Team,Since 2010 a million more households are stuck renting from a private landlord. More than 11 million people rent from a private landlord and many of them are at the sharp end of the housing crisis.,There are 11 million people in the private rented sector,12/5/2019,The numbers on the scale of private renting are accurate.,Fullfact
False,Viral post about Conservatives’ record in government gets lots of things wrong - Full Fact,Joel Reland,"After nine years of a Conservative government, child poverty is up 50%.",Viral post about Conservatives’ record in government gets lots of things wrong,10/16/2019,"Incorrect. There’s no single measure of child poverty, but depending on which you use it has risen by up to 5% or fallen by up to 3% between 2009/10 and 2017/18, under coalition and Conservative governments.",Fullfact
True,How much more difficult is it to buy a home? - Full Fact,abass Panjwani,Since the mid-1990s house prices have gone up nearly three times.,How much more difficult is it to buy a home?,7/18/2019,"Correct. From 1996 to 2018, the average UK house price increased by around 300%.",Fullfact
Mixture,The estimated number of homeless people in Britain is broadly comparable to the population of Iceland - Full Fact,Grace Rahman,There are more homeless UK citizens than the entire population of Iceland.,The estimated number of homeless people in Britain is broadly comparable to the population of Iceland,2/22/2019,"We don’t have definitive numbers but these figures are broadly comparable. The charity Shelter calculated that an estimated 320,000 people in Great Britain were homeless at the start of 2018. We don’t know how many are UK citizens. The population of Iceland at the end of 2018 was around 360,000.",Fullfact
Mixture,https://fullfact.org/economy/social-renting-scotland/,joel Reland,"Less than 29,000 homes for social rent were built under Labour in Scotland.",The state of social renting in Scotland,8/31/2018,Around that many homes for social rent (and funded by the government) were built between 2000/01 to 2006/07. But the data doesn’t include those homes for social rent that didn’t receive any government funding.,Fullfact
